板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
创业板,北京晓程科技股份有限公司,"Beijing XIAOCHENG Technology Stock Co., Ltd",北京市海淀区西三环北路87号国际财经中心D座503,300139,晓程科技,2010-11-12,"274,000,000","233,651,725",,,,0,0,华北,北京,北京市,C 制造业,www.xiaocheng.com
创业板,中节能环保装备股份有限公司,"CECEP ENVIRONMENTAL PROTECTION EQUIPMENT CO.,LTD.",陕西省西安市经济技术开发区凤城十二路,300140,中环装备,2010-11-12,"427,244,052","423,395,434",,,,0,0,西北,陕西,西安市,C 制造业,www.zhzb.cecep.cn
创业板,苏州工业园区和顺电气股份有限公司,"Suzhou Industrial Park Heshun Electric Co.,Ltd.",江苏省苏州市工业园区和顺路8号,300141,和顺电气,2010-11-12,"253,884,600","206,041,841",,,,0,0,华东,江苏,苏州市,C 制造业,www.cnheshun.com
创业板,云南沃森生物技术股份有限公司,"Walvax Biotechnology Co.,Ltd.",云南省昆明市高新开发区北区云南大学科技园2期A3幢4楼,300142,沃森生物,2010-11-12,"1,607,347,484","1,566,449,477",,,,0,0,西南,云南,昆明市,C 制造业,www.walvax.com
创业板,盈康生命科技股份有限公司,"INKON Life Technology Co., Ltd.",山东省青岛市城阳区春阳路37号,300143,盈康生命,2010-12-09,"642,167,010","545,840,764",,,,0,0,华东,山东,青岛市,Q 卫生,www.inkonlife.com
创业板,宋城演艺发展股份有限公司,SONGCHENG PERFORMANCE DEVELOPMENT CO .，LTD.,浙江省杭州市之江路148号,300144,宋城演艺,2010-12-09,"2,614,694,040","2,415,765,598",,,,0,0,华东,浙江,杭州市,R 文化传播,www.songcn.com
创业板,南方中金环境股份有限公司,"Nanfang Zhongjin Environment Co., Ltd.",浙江省杭州市余杭区仁和街道仁河大道46号,300145,中金环境,2010-12-09,"1,923,088,236","1,893,597,187",,,,0,0,华东,浙江,杭州市,C 制造业,www.nfzje.com
创业板,汤臣倍健股份有限公司,"BY-HEALTH CO.,LTD",广东省珠海市金湾区三灶科技工业园星汉路19号,300146,汤臣倍健,2010-12-15,"1,700,462,263","1,129,603,891",,,,0,0,华南,广东,珠海市,C 制造业,www.by-health.com
创业板,广州市香雪制药股份有限公司,"Xiangxue Pharmaceutical Co., Ltd.",广东省广州市萝岗区广州经济技术开发区科学城金峰园路2号,300147,香雪制药,2010-12-15,"661,279,045","657,388,542",,,,0,0,华南,广东,广州市,C 制造业,www.xphcn.com
创业板,天舟文化股份有限公司,"TANGEL PUBLISHING CO.,LTD.",湖南省长沙市长沙县星沙镇茶叶大市场办公楼502、602号,300148,天舟文化,2010-12-15,"835,339,343","790,338,534",,,,0,0,华中,湖南,长沙市,I 信息技术,www.t-angel.com
创业板,睿智医药科技股份有限公司,"ChemPartner PharmaTech Co., Ltd.",广东省江门市江海区胜利南路166号,300149,睿智医药,2010-12-22,"499,776,892","498,906,992",,,,0,0,华南,广东,江门市,M 科研服务,www.cppt.com.cn
