A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
600290,-,ST华仪,ST华仪,Huayi Electric Company Limited,20001106
600292,-,远达环保,远达环保,"Spic Yuanda Environmental—Protection Co. ,Ltd.",20001101
600293,-,三峡新材,三峡新材,"Hubei Sanxia New Building Materials Co.,Ltd",20000919
600295,900936,鄂尔多斯,鄂尔多斯,"INNER MONGOLIA ERDOS RESOURCES CO.,LTD.",20010426
600297,-,广汇汽车,广汇汽车,"China Grand Automotive Services Group Co., Ltd.",20001116
600298,-,安琪酵母,安琪酵母,"Angel Yeast Co.,Ltd",20000818
600299,-,安迪苏,安迪苏,Bluestar Adisseo Company,20000420
600300,-,维维股份,维维股份,"V V Food & Beverage Co.,Ltd.",20000630
600301,-,南化股份,南化股份,"Nanning Chemical Industry Co., Ltd",20000712
600302,-,标准股份,标准股份,"Xi'An Typical Industries Co.,Ltd",20001213
600303,-,ST曙光,ST曙光,"Liaoning Sg Automotive Group Co.,Ltd.",20001226
600305,-,恒顺醋业,恒顺醋业,"Jiangsu Hengshun Vinegar-Industry Co.,Ltd",20010206
600306,-,ST商城,ST商城,"Shenyang Commercial City Co.,Ltd.",20001226
600307,-,酒钢宏兴,酒钢宏兴,"Gansu Jiu Steel Group Hongxing Iron & Steel Co.,Ltd.",20001220
600308,-,华泰股份,华泰股份,"Shandong Huatai Paper Industry Shareholding Co.,Ltd",20000928
600309,-,万华化学,万华化学,"Wanhua Chemical Group Co.,Ltd.",20010105
600310,-,桂东电力,桂东电力,"Guangxi Guidong Electric Power Co.,Ltd",20010228
600311,-,*ST荣华,*ST荣华,"Gansu Ronghua Industry Group Co.,Ltd.",20010626
600312,-,平高电气,平高电气,"Henan Pinggao Electric Co.,Ltd",20010221
600313,-,农发种业,农发种业,"Zhongnongfa Seed Industry Group Co., Ltd.",20010119
600315,-,上海家化,上海家化,"Shanghai Jahwa United Co.,Ltd.",20010315
600316,-,洪都航空,洪都航空,"Jiangxi Hongdu Aviation Industry Co.,Ltd.",20001215
600318,-,新力金融,新力金融,"Anhui Xinli Finance Co.,Ltd.",20001208
600319,-,亚星化学,亚星化学,"Weifang Yaxing Chemical Co.,Ltd.",20010326
600320,900947,振华重工,振华重工,"Shanghai Zhenhua Heavy Industries Co.,Ltd.",20001221
600321,-,正源股份,正源股份,"Rightway Holdings Co., Ltd.",20010524
600322,-,天房发展,天房发展,"Tianjin Realty Development(Group) Co.,Ltd.",20010910
600323,-,瀚蓝环境,瀚蓝环境,"Grandblue Environment Co.,Ltd.",20001225
600325,-,华发股份,华发股份,"Zhuhai Huafa Properties Co.,Ltd",20040225
600326,-,西藏天路,西藏天路,"Tibet Tianlu Co., Ltd.",20010116
600327,-,大东方,大东方,"Wuxi Commercial Mansion Grand Orient Co.,Ltd",20020625
600328,-,中盐化工,中盐化工,"CNSIG Inner Mongolia Chemical Industry Co., Ltd.",20001222
